date,loss_rate_percent,rolling_7d_percent,phase,note
2026-05-22,2.5,,Pre real ads,
2026-05-23,2.56,,Pre real ads,
2026-05-24,3.9,,Pre real ads,
2026-05-25,4.82,3.445,Pre real ads,Rollout of release: Started rollout of 22 (1.0.22+22) at 100%.
2026-05-26,1.3,3.016,Pre real ads,
2026-05-27,5.19,3.3783,Pre real ads,
2026-05-28,,3.3783,Pre real ads,
2026-05-29,2.5,3.3783,Pre real ads,
2026-05-30,4.82,3.755,Pre real ads,
2026-05-31,2.33,3.4933,Pre real ads,
2026-06-01,4.35,3.415,Pre real ads,
2026-06-02,2.35,3.59,Pre real ads,
2026-06-03,2.41,3.1267,Pre real ads,
2026-06-04,2.35,3.0157,Pre real ads,
2026-06-05,2.41,3.0029,Pre real ads,
2026-06-06,1.2,2.4857,Pre real ads,
2026-06-07,3.3,2.6243,Pre real ads,
2026-06-08,1.11,2.1614,Pre real ads,
2026-06-09,4.6,2.4829,Pre real ads,
2026-06-10,2.38,2.4786,Pre real ads,
2026-06-11,1.2,2.3143,Pre real ads,
2026-06-12,1.12,2.13,Pre real ads,
2026-06-13,3.75,2.4943,Pre real ads,
2026-06-14,1.19,2.1929,Pre real ads,
2026-06-15,2.44,2.3829,Pre real ads,
2026-06-16,,2.0133,Pre real ads,
2026-06-17,1.25,1.825,Pre real ads,
2026-06-18,2.38,2.0217,Pre real ads,
2026-06-19,2.5,2.2517,Pre real ads,
2026-06-20,3.75,2.2517,Pre real ads,
2026-06-21,3.57,2.6483,Pre real ads,
2026-06-22,4.88,3.055,Pre real ads,
2026-06-23,7.14,3.6386,Pre real ads,
2026-06-24,2.44,3.8086,Pre real ads,
2026-06-25,1.18,3.6371,Pre real ads,
2026-06-26,2.5,3.6371,Pre real ads,
2026-06-27,2.35,3.4371,Pre real ads,
2026-06-28,7.14,3.9471,Pre real ads,
2026-06-29,6.02,4.11,Pre real ads,
2026-06-30,4.88,3.7871,Transition,Rollout of release: Started rollout of 27 (1.0.27+27) at 100%.
2026-07-01,6.17,4.32,Transition,
2026-07-02,3.45,4.6443,Transition,Rollout of release: Started rollout of 30 (1.0.30+30) at 100%.
2026-07-03,1.19,4.4571,Transition,
2026-07-04,9.9,5.5357,July spike,
2026-07-05,8.93,5.7914,July spike,
2026-07-06,20.9,7.9171,July spike,
2026-07-07,21.3,10.2629,July spike,
2026-07-08,39.01,14.9543,July spike,
2026-07-09,29.63,18.6943,July spike,
2026-07-10,31.11,22.9686,July spike,
2026-07-11,19.79,24.3814,July spike,
2026-07-12,19.54,25.8971,July spike,
2026-07-13,22.69,26.1529,July spike,
2026-07-14,24.53,26.6143,July spike,
2026-07-15,20.1,23.9129,July spike,
2026-07-16,15.61,21.91,July decline,
2026-07-17,19.03,20.1843,July decline,
2026-07-18,18.3,19.9714,July decline,
2026-07-19,14.04,19.1857,July decline,
2026-07-20,14.69,18.0429,July decline,Rollout of release: Started rollout of 31 (1.0.31+31) at 100%.
2026-07-21,14.3,16.5814,July decline,
2026-07-22,14.43,15.7714,July decline,
2026-07-23,12.7,15.3557,July decline,
2026-07-24,12.49,14.4214,July decline,Rollout of release: Started rollout of 32 (1.0.32+32) at 100%.
2026-07-25,12.96,13.6586,July decline,
2026-07-26,10.34,13.13,July decline,
2026-07-27,10.5,12.5314,July decline,
2026-07-28,10.26,11.9543,July decline,
2026-07-29,10.95,11.4571,July decline,Rollout of release: Started rollout of 34 (1.0.34+34) at 100%.
2026-07-30,10.16,11.0943,July decline,Rollout of release: Started rollout of 35 (1.0.35+35) at 100%.
2026-07-31,10.19,10.7657,July decline,
2026-08-01,12.12,10.6457,August,
2026-08-02,8.98,10.4514,August,
2026-08-03,7.05,9.9586,August,
2026-08-04,7.73,9.5971,August,
2026-08-05,8.9,9.3043,August,
2026-08-06,8.72,9.0986,August,
2026-08-07,8.15,8.8071,August,
2026-08-08,8.79,8.3314,August,
2026-08-09,7.12,8.0657,August,
2026-08-10,7.15,8.08,August,
2026-08-11,6.89,7.96,August,
2026-08-12,6.88,7.6714,August,
2026-08-13,6.22,7.3143,August,
2026-08-14,5.8,6.9786,August,
2026-08-15,7.6,6.8086,August,
2026-08-16,6.63,6.7386,August,
