Date,User loss rate (Daily): All countries / regions,Notes
"May 22, 2026",2.5%,
"May 23, 2026",2.56%,
"May 24, 2026",3.9%,
"May 25, 2026",4.82%,Rollout of release: Started rollout of 22 (1.0.22+22) at 100%.
"May 26, 2026",1.3%,
"May 27, 2026",5.19%,
"May 28, 2026",-,
"May 29, 2026",2.5%,
"May 30, 2026",4.82%,
"May 31, 2026",2.33%,
"Jun 1, 2026",4.35%,
"Jun 2, 2026",2.35%,
"Jun 3, 2026",2.41%,
"Jun 4, 2026",2.35%,
"Jun 5, 2026",2.41%,
"Jun 6, 2026",1.2%,
"Jun 7, 2026",3.3%,
"Jun 8, 2026",1.11%,
"Jun 9, 2026",4.6%,
"Jun 10, 2026",2.38%,
"Jun 11, 2026",1.2%,
"Jun 12, 2026",1.12%,
"Jun 13, 2026",3.75%,
"Jun 14, 2026",1.19%,
"Jun 15, 2026",2.44%,
"Jun 16, 2026",-,
"Jun 17, 2026",1.25%,
"Jun 18, 2026",2.38%,
"Jun 19, 2026",2.5%,
"Jun 20, 2026",3.75%,
"Jun 21, 2026",3.57%,
"Jun 22, 2026",4.88%,
"Jun 23, 2026",7.14%,
"Jun 24, 2026",2.44%,
"Jun 25, 2026",1.18%,
"Jun 26, 2026",2.5%,
"Jun 27, 2026",2.35%,
"Jun 28, 2026",7.14%,
"Jun 29, 2026",6.02%,
"Jun 30, 2026",4.88%,Rollout of release: Started rollout of 27 (1.0.27+27) at 100%.
"Jul 1, 2026",6.17%,
"Jul 2, 2026",3.45%,Rollout of release: Started rollout of 30 (1.0.30+30) at 100%.
"Jul 3, 2026",1.19%,
"Jul 4, 2026",9.9%,
"Jul 5, 2026",8.93%,
"Jul 6, 2026",20.9%,
"Jul 7, 2026",21.3%,
"Jul 8, 2026",39.01%,
"Jul 9, 2026",29.63%,
"Jul 10, 2026",31.11%,
"Jul 11, 2026",19.79%,
"Jul 12, 2026",19.54%,
"Jul 13, 2026",22.69%,
"Jul 14, 2026",24.53%,
"Jul 15, 2026",20.1%,
"Jul 16, 2026",15.61%,
"Jul 17, 2026",19.03%,
"Jul 18, 2026",18.3%,
"Jul 19, 2026",14.04%,
"Jul 20, 2026",14.69%,Rollout of release: Started rollout of 31 (1.0.31+31) at 100%.
"Jul 21, 2026",14.3%,
"Jul 22, 2026",14.43%,
"Jul 23, 2026",12.7%,
"Jul 24, 2026",12.49%,Rollout of release: Started rollout of 32 (1.0.32+32) at 100%.
"Jul 25, 2026",12.96%,
"Jul 26, 2026",10.34%,
"Jul 27, 2026",10.5%,
"Jul 28, 2026",10.26%,
"Jul 29, 2026",10.95%,Rollout of release: Started rollout of 34 (1.0.34+34) at 100%.
"Jul 30, 2026",10.16%,Rollout of release: Started rollout of 35 (1.0.35+35) at 100%.
"Jul 31, 2026",10.19%,
"Aug 1, 2026",12.12%,
"Aug 2, 2026",8.98%,
"Aug 3, 2026",7.05%,
"Aug 4, 2026",7.73%,
"Aug 5, 2026",8.9%,
"Aug 6, 2026",8.72%,
"Aug 7, 2026",8.15%,
"Aug 8, 2026",8.79%,
"Aug 9, 2026",7.12%,
"Aug 10, 2026",7.15%,
"Aug 11, 2026",6.89%,
"Aug 12, 2026",6.88%,
"Aug 13, 2026",6.22%,
"Aug 14, 2026",5.8%,
"Aug 15, 2026",7.6%,
"Aug 16, 2026",6.63%,
